# Logfile created on 2011-09-01 04:11:53 +0100 by logger.rb/31641
I, [2011-09-01T04:11:53.357047 #70036]  INFO -- : NICK lolfo
I, [2011-09-01T04:11:53.357259 #70036]  INFO -- : USER lolfo 8 * :lolfo
I, [2011-09-01T04:11:53.489899 #70036]  INFO -- : :asimov.freenode.net NOTICE * :*** Looking up your hostname...
I, [2011-09-01T04:11:53.622807 #70036]  INFO -- : :asimov.freenode.net NOTICE * :*** Checking Ident
I, [2011-09-01T04:11:53.622963 #70036]  INFO -- : :asimov.freenode.net NOTICE * :*** Found your hostname
I, [2011-09-01T04:12:05.723099 #70036]  INFO -- : :asimov.freenode.net NOTICE * :*** No Ident response
I, [2011-09-01T04:12:05.725472 #70036]  INFO -- : :asimov.freenode.net 001 lolfo :Welcome to the freenode Internet Relay Chat Network lolfo
I, [2011-09-01T04:12:05.725615 #70036]  INFO -- : :asimov.freenode.net 002 lolfo :Your host is asimov.freenode.net[174.143.119.91/6667], running version ircd-seven-1.0.3
I, [2011-09-01T04:12:05.725716 #70036]  INFO -- : :asimov.freenode.net 003 lolfo :This server was created Fri Mar 4 2011 at 17:35:00 UTC
I, [2011-09-01T04:12:05.725811 #70036]  INFO -- : :asimov.freenode.net 004 lolfo asimov.freenode.net ircd-seven-1.0.3 DOQRSZaghilopswz CFILMPQbcefgijklmnopqrstvz bkloveqjfI
I, [2011-09-01T04:12:05.725897 #70036]  INFO -- : :asimov.freenode.net 005 lolfo CHANTYPES=# EXCEPTS INVEX CHANMODES=eIbq,k,flj,CFLMPQcgimnprstz CHANLIMIT=#:120 PREFIX=(ov)@+ MAXLIST=bqeI:100 MODES=4 NETWORK=freenode KNOCK STATUSMSG=@+ CALLERID=g :are supported by this server
I, [2011-09-01T04:12:05.726003 #70036]  INFO -- : :asimov.freenode.net 005 lolfo SAFELIST ELIST=U CASEMAPPING=rfc1459 CHARSET=ascii NICKLEN=16 CHANNELLEN=50 TOPICLEN=390 ETRACE CPRIVMSG CNOTICE DEAF=D MONITOR=100 :are supported by this server
I, [2011-09-01T04:12:05.726121 #70036]  INFO -- : :asimov.freenode.net 005 lolfo FNC TARGMAX=NAMES:1,LIST:1,KICK:1,WHOIS:1,PRIVMSG:4,NOTICE:4,ACCEPT:,MONITOR: EXTBAN=$,arx WHOX CLIENTVER=3.0 :are supported by this server
I, [2011-09-01T04:12:05.726218 #70036]  INFO -- : :asimov.freenode.net 251 lolfo :There are 281 users and 61818 invisible on 28 servers
I, [2011-09-01T04:12:05.726319 #70036]  INFO -- : :asimov.freenode.net 252 lolfo 34 :IRC Operators online
I, [2011-09-01T04:12:05.726412 #70036]  INFO -- : :asimov.freenode.net 253 lolfo 13 :unknown connection(s)
I, [2011-09-01T04:12:05.726504 #70036]  INFO -- : :asimov.freenode.net 254 lolfo 43742 :channels formed
I, [2011-09-01T04:12:05.726603 #70036]  INFO -- : :asimov.freenode.net 255 lolfo :I have 6617 clients and 1 servers
I, [2011-09-01T04:12:05.726696 #70036]  INFO -- : :asimov.freenode.net 265 lolfo 6617 8143 :Current local users 6617, max 8143
I, [2011-09-01T04:12:05.727596 #70036]  INFO -- : :asimov.freenode.net 266 lolfo 62099 72826 :Current global users 62099, max 72826
I, [2011-09-01T04:12:05.727733 #70036]  INFO -- : :asimov.freenode.net 250 lolfo :Highest connection count: 8144 (8143 clients) (245890 connections received)
I, [2011-09-01T04:12:05.728002 #70036]  INFO -- : :asimov.freenode.net 375 lolfo :- asimov.freenode.net Message of the Day - 
I, [2011-09-01T04:12:05.728107 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- Welcome to asimov.freenode.net in TX, USA!  Thanks to
I, [2011-09-01T04:12:05.728219 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- Rackspace (www.rackspace.com) for sponsoring
I, [2011-09-01T04:12:05.728315 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- this server!
I, [2011-09-01T04:12:05.728410 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:12:05.728510 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- ASIMOV, ISAAC [1920-1992].  One of the brightest stars of the
I, [2011-09-01T04:12:05.728606 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- science fiction universe.  Author of I Robot, the
I, [2011-09-01T04:12:05.728720 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- Foundation series (which "grew like Topsy"), Pebble in the
I, [2011-09-01T04:12:05.728818 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- Sky and hundreds of works of science fact and science
I, [2011-09-01T04:12:05.728945 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- fiction.
I, [2011-09-01T04:12:05.729044 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:12:05.729135 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- You're using freenode, a service of Peer-Directed Projects
I, [2011-09-01T04:12:05.729228 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- Center Ltd (http://freenode.net/pdpc.shtml).
I, [2011-09-01T04:12:05.729327 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:12:05.729418 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- PDPC's 2011 fundraiser launched on 14th February 2011. We would 
I, [2011-09-01T04:12:05.729511 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- like to invite all users of freenode to get involved in the fun
I, [2011-09-01T04:12:05.729613 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- of our Valentine-themed fundraiser launch - see 
I, [2011-09-01T04:12:05.859406 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- http://freenode.net/pdpc_valentine.shtml for more!
I, [2011-09-01T04:12:05.859635 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:12:05.859864 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- On the subject of fundraisers, we'd like to thank our donors, 
I, [2011-09-01T04:12:05.859947 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- hardware and bandwith sponsors and especially  The Gallery 
I, [2011-09-01T04:12:05.860025 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- Project (http://gallery.menalto.com/) and our corporate sponsor 
I, [2011-09-01T04:12:05.860110 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- Canonical Ltd (http://www.canonical.com) for the generous 
I, [2011-09-01T04:12:05.860188 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- support.
I, [2011-09-01T04:12:05.860260 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:12:05.860342 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- By connecting to freenode you indicate that you have read
I, [2011-09-01T04:12:05.860416 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- and agree to adhere to our policies and procedures as per
I, [2011-09-01T04:12:05.860498 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- the website (http://freenode.net). We would like to remind
I, [2011-09-01T04:12:05.860573 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- you that unauthorized public logging of channels on the
I, [2011-09-01T04:12:05.860649 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- network is prohibited. Public channel logging should only
I, [2011-09-01T04:12:05.860730 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- take place where the channel owner(s) has requested this
I, [2011-09-01T04:12:05.860805 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- and users of the channel are all made aware (if you are
I, [2011-09-01T04:12:05.860879 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- publically logging your channel, you may wish to keep a
I, [2011-09-01T04:12:05.860967 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- notice in topic and perhaps as a on-join message).
I, [2011-09-01T04:12:05.861039 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:12:05.861127 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- By registering your nickname with Nickserv you agree that you
I, [2011-09-01T04:12:05.861199 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- are 13 years of age, or older. For more information about the
I, [2011-09-01T04:12:05.861269 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- Children's Online Privacy Protection Act please see their
I, [2011-09-01T04:12:05.861317 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- website at (http://www.coppa.org).
I, [2011-09-01T04:12:05.861373 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:12:05.861442 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- freenode runs an open proxy scanner. Your use of the network
I, [2011-09-01T04:12:05.861545 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- indicates your acceptance of this policy. For details on
I, [2011-09-01T04:12:05.861616 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- freenode network policy, please take a look at our policy
